thres,TP,FP,TN,FN,TPR=TP/(FP+FN),FPR=FP/(FP+TN)
0,151,1111,0,0,,
1,151,1111,0,0,,
2,151,1111,0,0,,
3,151,1111,0,0,,
4,151,1111,0,0,,
5,151,1111,0,0,,
6,151,1111,0,0,,
7,151,1111,0,0,,
8,151,1111,0,0,,
9,151,1111,0,0,,
10,151,1111,0,0,,
11,151,1111,0,0,,
12,151,1111,0,0,,
13,151,1111,0,0,,
14,151,1111,0,0,,
15,151,1111,0,0,,
16,151,1111,0,0,,
17,151,1111,0,0,,
18,151,1111,0,0,,
19,151,1111,0,0,,
20,151,1111,0,0,,
21,151,1111,0,0,,
22,151,1111,0,0,,
23,151,1111,0,0,,
24,151,1111,0,0,,
25,151,1111,0,0,,
26,151,1111,0,0,,
27,151,1111,0,0,,
28,151,1111,0,0,,
29,151,1111,0,0,,
30,151,1111,0,0,,
31,151,1111,0,0,,
32,151,1111,0,0,,
33,151,1111,0,0,,
34,151,1111,0,0,,
35,151,1111,0,0,,
36,151,1111,0,0,,
37,151,1111,0,0,,
38,151,1111,0,0,,
39,151,1111,0,0,,
40,151,1111,0,0,,
41,151,1111,0,0,,
42,151,1111,0,0,,
43,151,1111,0,0,,
44,151,1111,0,0,,
45,151,1111,0,0,,
46,151,1111,0,0,,
47,151,1111,0,0,,
48,151,1111,0,0,,
49,151,1111,0,0,,
50,151,1111,0,0,,
51,151,1111,0,0,,
52,151,1111,0,0,,
53,151,1111,0,0,,
54,151,1111,0,0,,
55,151,1111,0,0,,
56,151,1111,0,0,,
57,151,1111,0,0,,
58,151,1111,0,0,,
59,151,1111,0,0,,
60,151,1111,0,0,,
61,151,1111,0,0,,
62,151,1111,0,0,,
63,151,1111,0,0,,
64,151,1111,0,0,,
65,151,1111,0,0,,
66,151,1111,0,0,,
67,151,1111,0,0,,
68,151,1111,0,0,,
69,151,1111,0,0,,
70,151,1111,0,0,,
71,151,1111,0,0,,
72,151,1111,0,0,,
73,151,1111,0,0,,
74,151,1111,0,0,,
75,151,1111,0,0,,
76,151,1111,0,0,,
77,151,1111,0,0,,
78,151,1111,0,0,,
79,151,1111,0,0,,
80,151,1111,0,0,,
81,151,1111,0,0,,
82,151,1111,0,0,,
83,151,1111,0,0,,
84,151,1111,0,0,,
85,151,1111,0,0,,
86,151,1111,0,0,,
87,151,1111,0,0,,
88,151,1111,0,0,,
89,151,1111,0,0,,
90,151,1111,0,0,,
91,151,1111,0,0,,
92,151,1111,0,0,,
93,151,1111,0,0,,
94,151,1111,0,0,,
95,151,1111,0,0,,
96,151,1111,0,0,,
97,151,1111,0,0,,
98,151,1111,0,0,,
99,151,1111,0,0,,
