T,TP,FP,,T,TP,FP,,T,TP,FP,,T,TP,FP,,T,TP,FP,,T,TP,FP,,T,TP,FP
0,143,114,,41,143,114,,81,143,114,,121,143,114,,161,143,114,,201,142,21,,241,24,0
1,143,114,,42,143,114,,82,143,114,,122,143,114,,162,143,114,,202,142,16,,242,23,0
2,143,114,,43,143,114,,83,143,114,,123,143,114,,163,143,114,,203,141,14,,243,20,0
3,143,114,,44,143,114,,84,143,114,,124,143,114,,164,143,114,,204,140,12,,244,16,0
4,143,114,,45,143,114,,85,143,114,,125,143,114,,165,143,114,,205,140,9,,245,13,0
5,143,114,,46,143,114,,86,143,114,,126,143,114,,166,143,114,,206,139,8,,246,11,0
6,143,114,,47,143,114,,87,143,114,,127,143,114,,167,143,114,,207,139,7,,247,8,0
7,143,114,,48,143,114,,88,143,114,,128,143,114,,168,143,114,,208,138,6,,248,6,0
8,143,114,,49,143,114,,89,143,114,,129,143,114,,169,143,114,,209,137,2,,249,5,0
9,143,114,,50,143,114,,90,143,114,,130,143,114,,170,143,112,,210,136,0,,250,1,0
10,143,114,,51,143,114,,91,143,114,,131,143,114,,171,143,111,,211,136,0,,251,1,0
11,143,114,,52,143,114,,92,143,114,,132,143,114,,172,143,110,,212,134,0,,252,1,0
12,143,114,,53,143,114,,93,143,114,,133,143,114,,173,143,108,,213,133,0,,253,1,0
13,143,114,,54,143,114,,94,143,114,,134,143,114,,174,143,108,,214,129,0,,254,1,0
14,143,114,,55,143,114,,95,143,114,,135,143,114,,175,143,104,,215,129,0,,255,0,0
15,143,114,,56,143,114,,96,143,114,,136,143,114,,176,143,101,,216,126,0,,,,
16,143,114,,57,143,114,,97,143,114,,137,143,114,,177,143,98,,217,124,0,,,,
17,143,114,,58,143,114,,98,143,114,,138,143,114,,178,143,96,,218,119,0,,,,
18,143,114,,59,143,114,,99,143,114,,139,143,114,,179,143,93,,219,118,0,,,,
19,143,114,,60,143,114,,100,143,114,,140,143,114,,180,143,88,,220,116,0,,,,
20,143,114,,61,143,114,,101,143,114,,141,143,114,,181,143,81,,221,113,0,,,,
21,143,114,,62,143,114,,102,143,114,,142,143,114,,182,143,79,,222,109,0,,,,
22,143,114,,63,143,114,,103,143,114,,143,143,114,,183,143,75,,223,102,0,,,,
23,143,114,,64,143,114,,104,143,114,,144,143,114,,184,143,72,,224,97,0,,,,
24,143,114,,65,143,114,,105,143,114,,145,143,114,,185,143,68,,225,96,0,,,,
25,143,114,,66,143,114,,106,143,114,,146,143,114,,186,143,68,,226,91,0,,,,
26,143,114,,67,143,114,,107,143,114,,147,143,114,,187,143,64,,227,88,0,,,,
27,143,114,,68,143,114,,108,143,114,,148,143,114,,188,143,59,,228,80,0,,,,
28,143,114,,69,143,114,,109,143,114,,149,143,114,,189,143,55,,229,74,0,,,,
29,143,114,,70,143,114,,110,143,114,,150,143,114,,190,143,52,,230,67,0,,,,
30,143,114,,71,143,114,,111,143,114,,151,143,114,,191,143,47,,231,62,0,,,,
31,143,114,,72,143,114,,112,143,114,,152,143,114,,192,143,45,,232,59,0,,,,
32,143,114,,73,143,114,,113,143,114,,153,143,114,,193,143,43,,233,52,0,,,,
33,143,114,,74,143,114,,114,143,114,,154,143,114,,194,143,40,,234,47,0,,,,
34,143,114,,75,143,114,,115,143,114,,155,143,114,,195,143,38,,235,42,0,,,,
35,143,114,,76,143,114,,116,143,114,,156,143,114,,196,143,32,,236,40,0,,,,
36,143,114,,77,143,114,,117,143,114,,157,143,114,,197,143,30,,237,38,0,,,,
37,143,114,,78,143,114,,118,143,114,,158,143,114,,198,143,28,,238,34,0,,,,
38,143,114,,79,143,114,,119,143,114,,159,143,114,,199,143,26,,239,30,0,,,,
39,143,114,,80,143,114,,120,143,114,,160,143,114,,200,142,21,,240,28,0,,,,
40,143,114,,,,,,,,,,,,,,,,,,,,,,,,
